Fecha y Hora,PM1.0 (µg/m³),PM10 (µg/m³),Temperatura (°C),Humedad (%),CO2 (ppm),NH3 (ppm),Alcohol (mg/m³),Benceno (ppm),day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,PM2.5_real,PM2.5_predicho
2025-04-25 05:34:41.464,29,20,27.1,87,109.9,31.05,0.012,0.019,1,0,0,0,0,0,0,29,30.46818713187764
2025-05-03 18:03:11.104,29,17,27.1,80,200.3,64.73,0.032,0.021,0,0,1,0,0,0,0,31,30.46367121129687
2025-05-03 17:03:07.430,8,5,27.6,74,197.4,65.39,0.031,0.022,0,0,1,0,0,0,0,9,9.408197922498893
2025-04-21 04:33:31.589,32,19,26.7,89,172.4,5.69,0.004,0.018,0,1,0,0,0,0,0,33,33.41400259946635
2025-04-18 09:32:55.661,55,27,26.7,72,1.2,17.58,0.002,0.018,1,0,0,0,0,0,0,56,56.73466288219106
2025-04-21 19:41:39.078,20,14,26.2,91,145.3,6.6,0.005,0.022,0,1,0,0,0,0,0,23,21.473510419420684
2025-05-02 20:09:11.979,30,18,30.2,72,199.3,52.38,0.036,0.023,1,0,0,0,0,0,0,31,31.742527546891232
2025-04-27 10:20:59.131,46,27,28.0,62,236.0,36.16,0.024,0.02,0,0,0,1,0,0,0,47,46.767402483370475
2025-05-02 00:07:39.159,47,24,28.9,80,237.1,47.71,0.036,0.022,1,0,0,0,0,0,0,48,48.98377311125524
2025-04-25 06:34:44.998,22,14,27.1,85,109.3,30.28,0.021,0.021,1,0,0,0,0,0,0,23,23.61639131917446
2025-04-23 02:26:27.135,48,24,27.1,85,285.3,9.59,0.008,0.021,0,0,0,0,0,0,1,49,49.54775594949647
2025-04-22 08:11:38.169,36,21,27.1,88,253.2,9.47,0.007,0.026,0,0,0,0,0,1,0,37,38.011640702797784
2025-04-19 12:44:29.903,50,27,27.1,81,1.2,26.08,0.004,0.02,0,0,1,0,0,0,0,51,51.97320833128589
2025-04-19 05:55:02.780,59,30,25.3,84,1.3,24.47,0.002,0.02,0,0,1,0,0,0,0,59,60.96278148949668
2025-04-25 15:23:51.849,37,24,30.2,66,133.4,20.39,0.013,0.02,1,0,0,0,0,0,0,41,38.46286979679879
2025-04-22 07:11:33.872,31,19,26.7,90,256.7,9.52,0.008,0.023,0,0,0,0,0,1,0,32,32.75006028873641
2025-05-01 07:27:36.951,38,24,28.0,84,205.3,7.17,0.013,0.019,0,0,0,0,1,0,0,39,39.31855528030622
2025-04-21 14:41:20.224,22,13,28.5,76,158.8,6.06,0.004,0.022,0,1,0,0,0,0,0,23,23.582902602597972
2025-04-29 19:24:56.087,36,22,28.0,80,155.6,39.59,0.007,0.019,0,0,0,0,0,1,0,38,37.5354595798437
